New test done with time limit: 900s
Bit length: 16 	 Run time: 0.0027621029876172543
Bit length: 17 	 Run time: 0.0038076057098805904
Bit length: 18 	 Run time: 0.006115410942584276
Bit length: 19 	 Run time: 0.0018542506732046604
Bit length: 20 	 Run time: 0.008157507982105017
Bit length: 21 	 Run time: 0.0017462261021137238
Bit length: 22 	 Run time: 0.010370789095759392
Bit length: 23 	 Run time: 0.031622983049601316
Bit length: 24 	 Run time: 0.021455551031976938
Bit length: 25 	 Run time: 0.03379623591899872
Bit length: 26 	 Run time: 0.03594561107456684
Bit length: 27 	 Run time: 0.15179914701730013
Bit length: 28 	 Run time: 0.13756010122597218
Bit length: 29 	 Run time: 0.17297424608841538
Bit length: 30 	 Run time: 0.03923847619444132
Bit length: 31 	 Run time: 0.28053077682852745
Bit length: 32 	 Run time: 0.09305133204907179
Bit length: 33 	 Run time: 1.082558711990714
Bit length: 34 	 Run time: 1.4438425470143557
Bit length: 35 	 Run time: 1.1396956089884043
Bit length: 36 	 Run time: 0.9397080978378654
Bit length: 37 	 Run time: 2.3029408059082925
Bit length: 38 	 Run time: 5.003490880597383
Bit length: 39 	 Run time: 5.870403609704226
Bit length: 40 	 Run time: 7.929574915673584
Bit length: 41 	 Run time: 23.68502428336069
Bit length: 42 	 Run time: 24.008968892972916
Bit length: 43 	 Run time: 52.46034336229786
Bit length: 44 	 Run time: 54.72812604531646
Bit length: 45 	 Run time: 70.40080292895436
Bit length: 46 	 Run time: 33.40797703014687
Bit length: 47 	 Run time: 25.990900417324156
Bit length: 48 	 Run time: 102.42729975888506
Bit length: 49 	 Run time: 289.08531879866496
Bit length: 50 	 Run time: 441.98942884616554
Bit length: 51 	 Run time: 348.87794909765944
Bit length: 52 	 Run time: 1602.969070961699
